Locus_Tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAOUHSC_00001	13044.0850821504	0.27405342516062	0.275314647235072	0.995418979385521	0.319532531536483	0.413230040784023
SAOUHSC_00002	9614.43071469582	0.448347507811242	0.179763833773882	2.49409182258096	0.0126279872421983	0.0257170955421601
SAOUHSC_00003	822.417776176806	0.662653393214468	0.359987146140222	1.84076959502424	0.0656553302542253	0.10858381542045
SAOUHSC_00004	7010.07813571571	1.30883248080344	0.280068894544482	4.67325185444885	2.96467847322209e-06	1.39174511680356e-05
SAOUHSC_00005	16210.9348867938	1.28745233755632	0.333236315643951	3.86348149081059	0.000111782366897403	0.00037187048485607
SAOUHSC_00006	21383.8951001941	1.42115552110262	0.354700902897665	4.00663068374719	6.15910538041181e-05	0.000217584826789388
SAOUHSC_00007	3925.41712652841	0.50240688188122	0.325301388048504	1.5444351003086	0.122482962265982	0.185648879690077
SAOUHSC_00008	1502.94925639969	1.03989659958429	0.233687733070118	4.44994089301329	8.58939256050018e-06	3.57069612182726e-05
SAOUHSC_00009	21038.7266364194	-4.76253231279296	0.326391040876389	-14.5914921561729	3.18161820918502e-48	1.25083047309674e-45
SAOUHSC_00010	898.463426316769	-3.62029645024865	0.403078496527688	-8.98161643807751	2.66817549382279e-19	6.99316091333365e-18
SAOUHSC_00012	631.54752119983	-3.25693928023397	0.33358599257363	-9.76341738784216	1.61615525430407e-22	5.55957407480602e-21
SAOUHSC_00013	2956.45522348736	-2.53690490664285	0.372332959479719	-6.81353837218119	9.52269428630411e-12	1.0567118820931e-10
SAOUHSC_00014	3941.73842094016	-0.544449826833275	0.190990463829946	-2.85066498041516	0.00436279105605676	0.00995463094896907
SAOUHSC_00015	18492.9400096008	0.247352420130725	0.285892309514639	0.865194382285613	0.386932108238937	0.479872538023234
SAOUHSC_00017	4395.89436306636	0.44159929539238	0.210349151244334	2.09936333367675	0.0357848843270323	0.0641563528781713
SAOUHSC_00018	11814.1601390497	-0.761659127028948	0.406328828078834	-1.87448951291533	0.0608629861593365	0.101573643365976
SAOUHSC_00019	6370.26416695148	-0.282330117993166	0.513173747302939	-0.550164772607706	0.582206363191484	0.662079302273953
SAOUHSC_T00018	111.353451187516	-1.93307641359439	1.5330755812554	-1.26091396747148	0.207339845308631	0.290825307996612
