gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
SAOUHSC_00001	13044.0850821503	0.274053286878728	0.275344848455181	0.995309294567525	0.319585858640859	0.413254987711736	NA
SAOUHSC_00002	9614.43071469581	0.448347761174848	0.17985866175921	2.49277825593457	0.0126747974466188	0.0257898871918267	NA
SAOUHSC_00003	822.417776176806	0.662653246081782	0.359982916550912	1.84079081427205	0.0656522194494841	0.108552888975633	NA
SAOUHSC_00004	7010.07813571571	1.30883274869467	0.280097122222565	4.67278184905688	2.97147332365936e-06	1.39360580239084e-05	NA
SAOUHSC_00005	16210.9348867938	1.28745229658849	0.3332446401813	3.86338485710695	0.000111826615932532	0.000371361488133003	NA
SAOUHSC_00006	21383.8951001941	1.4211555169648	0.354702555425505	4.00661200554354	6.15959224404844e-05	0.00021716893150125	NA
SAOUHSC_00007	3925.41712652841	0.502406717430056	0.325312192725492	1.54438329907296	0.122495503510353	0.185597204823337	NA
SAOUHSC_00008	1502.94925639969	1.03989468783339	0.233738135356306	4.44897314786994	8.62818011917263e-06	3.57731624519311e-05	NA
SAOUHSC_00009	21038.7266364194	-4.7625323269663	0.326402083960877	-14.5909985290937	3.2047243863317e-48	1.26037231936731e-45	NA
SAOUHSC_00010	898.463426316768	-3.62029682522745	0.403057274148096	-8.98209028203084	2.65670699498877e-19	6.96563272114675e-18	NA
SAOUHSC_00012	631.54752119983	-3.25693922797796	0.333591913673542	-9.76324393511904	1.61892268073732e-22	5.57111767508731e-21	NA
SAOUHSC_00013	2956.45522348735	-2.53690487554225	0.372327677944638	-6.81363493991834	9.51630106892607e-12	1.05638616301425e-10	NA
SAOUHSC_00014	3941.73842094016	-0.544449189044695	0.191072983351585	-2.84943051338073	0.00437975716265931	0.00997173575823325	NA
SAOUHSC_00015	18492.9400096008	0.247352337791495	0.285918257456474	0.865115575311415	0.386975356783307	0.479884305056056	NA
SAOUHSC_00017	4395.89436306636	0.441598871165657	0.210414856446764	2.09870575976836	0.0358428466305839	0.0642417687330713	NA
SAOUHSC_00018	11814.1601390497	-0.76165908730437	0.406313186866131	-1.8745615744815	0.0608530636437122	0.101532414673418	NA
SAOUHSC_00019	6370.26416695147	-0.282329965872418	0.513127556730166	-0.550214000728252	0.582172601746087	0.662007919292431	NA
SAOUHSC_00020	2964.39451756547	-0.18949285691448	0.243413137203007	-0.778482456172617	0.436284645257566	0.525871991415972	NA
SAOUHSC_00021	10753.1763277371	-0.560427945454676	0.49447394937011	-1.13338214514351	0.257053808805764	0.347407528543087	NA
SAOUHSC_00022	8204.85833757384	0.392802417757739	0.197762179195123	1.98623629329134	0.0470070927052551	0.081390268061363	NA
SAOUHSC_00023	6369.3355595377	0.304122696045196	0.31152977930719	0.976223514559452	0.328953712925847	0.422984386587976	NA
SAOUHSC_00024	1238.6724579732	0.697317688355045	0.381082451732895	1.82983416104345	0.0672747409203679	0.110902611828606	NA
SAOUHSC_00025	1228.07972585498	-0.208372664438671	0.5218647180601	-0.399284828476705	0.68968334471977	0.75796337246049	NA
SAOUHSC_00026	158.391466043114	2.73928466205577	0.401664371514507	6.81983480816853	9.11452557744018e-12	1.02001174449971e-10	NA
SAOUHSC_00027	1233.54090221034	-0.714635367972455	0.446265404073973	-1.60136851624285	0.10929532170198	0.168471456128528	NA
SAOUHSC_00028	3.32596915848905	-0.362873024300435	1.47083227397756	-0.246712715460831	0.805130565190389	0.849568587952909	NA
SAOUHSC_00029	28.3006210591073	-2.50734119439203	0.601170574898662	-4.17076500261957	3.03578796431187e-05	0.000111863130409867	NA
SAOUHSC_00030	1269.95931785108	-0.840090897731872	0.319664530300051	-2.62803914135649	0.00858786335670048	0.0181029003223556	NA
SAOUHSC_00031	11599.8605616813	4.22351101830317	0.302874560008624	13.9447532938485	3.38616883385875e-44	7.17086369201012e-42	NA
SAOUHSC_00032	47.1847358826786	0.967798607349772	0.79040910343699	1.22442745553085	0.220791017301454	0.306059992730798	NA
SAOUHSC_00033	6082.11712672767	4.07109827423522	0.382673554197823	10.6385670751909	1.97137676164812e-26	1.02400004241835e-24	NA
SAOUHSC_00034	1450.14096079672	4.22238151276223	0.449665858403881	9.39004248121008	5.99760622971199e-21	1.85521460116821e-19	NA
SAOUHSC_00035	9792.96869498408	5.8383510191359	0.572619640706883	10.1958623213284	2.06900170058614e-24	9.04120901859307e-23	NA
SAOUHSC_00036	19042.5338212044	5.19064343549356	0.394443786779218	13.1593996647206	1.50275126699594e-39	1.8804882900181e-37	NA
SAOUHSC_00037	20743.9052141282	2.14538025940886	0.445289169041065	4.8179484446679	1.45041833805916e-06	7.13036015120868e-06	NA
SAOUHSC_00038	114.572777375572	0.787102940631129	0.385880842288129	2.0397564594394	0.0413745884411037	0.0727357867039327	NA
SAOUHSC_00039	3029.65808396306	-0.941863295087861	0.51895409293834	-1.81492603662684	0.0695352767007324	0.114150636110385	NA
SAOUHSC_00040	16.7557684546552	-0.46073990121475	0.509724790358261	-0.903899339270743	0.36604877956087	0.460060673986094	NA
SAOUHSC_00041	371.144559245299	0.784138550024114	0.253382016903506	3.09468903755207	0.0019701933914097	0.00489525487955857	NA
SAOUHSC_00042	231.357281806012	-0.0610656197459711	0.317405469148444	-0.192389941829931	0.847436770494725	0.881224495867695	NA
SAOUHSC_00043	88.1508238422714	0.412748214739733	0.323051523065423	1.27765444602515	0.201371294000523	0.283133387325557	NA
SAOUHSC_00044	873.324841895633	1.69061349402432	0.378877090393021	4.46216870033126	8.11343097530795e-06	3.37916421709876e-05	NA
